Land,Jahr,Wahltag,Wahlbeteiligung,Partei,Anteil
Hessen,1995,1995-02-19,66.3,CDUCSU,39.2
Hessen,1999,1999-02-07,66.4,CDUCSU,43.4
Hessen,2003,2003-02-02,64.6,CDUCSU,48.8
Hessen,2008,2008-01-27,64.3,CDUCSU,36.8
Hessen,2009,2009-01-18,61,CDUCSU,37.2
Hessen,2013,2013-09-22,73.2,CDUCSU,38.3
Hessen,2018,2018-10-28,67.3,CDUCSU,27
Thüringen,1994,1994-10-16,74.8,CDUCSU,42.6
Thüringen,1999,1999-09-12,59.9,CDUCSU,51
Thüringen,2004,2004-06-13,53.8,CDUCSU,43
Thüringen,2009,2009-08-30,56.2,CDUCSU,31.2
Thüringen,2014,2014-09-14,52.7,CDUCSU,33.5
Rheinland-Pfalz,1996,1996-03-24,70.8,CDUCSU,38.7
Rheinland-Pfalz,2001,2001-03-25,62.1,CDUCSU,35.3
Rheinland-Pfalz,2006,2006-03-26,58.2,CDUCSU,32.8
Rheinland-Pfalz,2011,2011-03-27,61.8,CDUCSU,35.2
Rheinland-Pfalz,2016,2016-03-13,70.4,CDUCSU,31.8
Bayern,1994,1994-09-25,67.8,CDUCSU,52.8
Bayern,1998,1998-09-13,69.8,CDUCSU,52.9
Bayern,2003,2003-09-21,57.1,CDUCSU,60.7
Bayern,2008,2008-09-28,57.9,CDUCSU,43.4
Bayern,2013,2013-09-15,63.6,CDUCSU,47.7
Bayern,2018,2018-10-14,72.4,CDUCSU,37.2
Baden-Württemberg,1996,1996-03-24,67.6,CDUCSU,41.3
Baden-Württemberg,2001,2001-03-25,62.6,CDUCSU,44.8
Baden-Württemberg,2006,2006-03-26,53.4,CDUCSU,44.2
Baden-Württemberg,2011,2011-03-27,66.3,CDUCSU,39
Baden-Württemberg,2016,2016-03-13,70.4,CDUCSU,27
Saarland,1994,1994-10-16,83.5,CDUCSU,38.6
Saarland,1999,1999-09-05,68.7,CDUCSU,45.4
Saarland,2004,2004-09-05,55.5,CDUCSU,47.5
Saarland,2009,2009-08-30,67.6,CDUCSU,34.5
Saarland,2012,2012-03-25,61.6,CDUCSU,35.2
Saarland,2017,2017-03-26,69.7,CDUCSU,40.7
Bund,1994,1994-10-16,79,CDUCSU,41.4
Bund,1998,1998-09-27,82.2,CDUCSU,35.1
Bund,2002,2002-09-22,79.1,CDUCSU,38.5
Bund,2005,2005-09-18,77.7,CDUCSU,35.2
Bund,2009,2009-09-27,70.8,CDUCSU,33.8
Bund,2013,2013-09-22,71.5,CDUCSU,41.5
Bund,2017,2017-09-24,76.2,CDUCSU,32.9
Europa,1994,1994-06-12,60,CDUCSU,38.8
Europa,1999,1999-06-13,45,CDUCSU,48.7
Europa,2004,2004-06-13,43,CDUCSU,44.5
Europa,2009,2009-06-07,43,CDUCSU,37.9
Europa,2014,2014-05-25,48,CDUCSU,35.4
Europa,2019,2019-05-26,61.4,CDUCSU,28.9
Schleswig-Holstein,1996,1996-03-24,71.8,SPD,39.8
Schleswig-Holstein,2000,2000-02-27,69.5,SPD,43.1
Schleswig-Holstein,2005,2005-02-20,66.5,SPD,38.7
Schleswig-Holstein,2009,2009-09-27,73.5,SPD,25.4
Schleswig-Holstein,2012,2012-05-06,60.2,SPD,30.4
Schleswig-Holstein,2017,2017-05-07,64.2,SPD,27.3
Mecklenburg-Vorpommern,1994,1994-10-16,72.9,SPD,29.5
Mecklenburg-Vorpommern,1998,1998-09-27,79.4,SPD,34.3
Mecklenburg-Vorpommern,2002,2002-09-22,70.6,SPD,40.6
Mecklenburg-Vorpommern,2006,2006-09-17,59.1,SPD,30.2
Mecklenburg-Vorpommern,2011,2011-09-04,51.5,SPD,35.6
Mecklenburg-Vorpommern,2016,2016-09-04,61.9,SPD,30.6
Hamburg,1993,1993-09-19,69.6,SPD,40.4
Hamburg,1997,1997-09-21,68.7,SPD,36.2
Hamburg,2001,2001-09-23,71,SPD,36.5
Hamburg,2004,2004-02-29,68.7,SPD,30.5
Hamburg,2008,2008-02-24,63.5,SPD,34.1
Hamburg,2011,2011-02-20,57.3,SPD,48.4
Hamburg,2015,2015-02-15,56.5,SPD,45.6
Niedersachsen,1994,1994-03-13,73.8,SPD,44.3
Niedersachsen,1998,1998-03-01,73.8,SPD,47.9
Niedersachsen,2003,2003-02-02,67,SPD,33.4
Niedersachsen,2008,2008-01-27,57.1,SPD,30.3
Niedersachsen,2013,2013-01-20,59.4,SPD,32.6
Niedersachsen,2017,2017-10-15,63.1,SPD,36.9
Bremen,1995,1995-05-14,68.6,SPD,33.4
Bremen,1999,1999-06-06,60.1,SPD,42.6
Bremen,2003,2003-05-25,61.3,SPD,42.3
Bremen,2007,2007-05-13,57.5,SPD,36.7
Bremen,2011,2011-05-22,55.5,SPD,38.6
Bremen,2015,2015-05-10,50.2,SPD,32.8
Brandenburg,1994,1994-09-11,56.3,SPD,54.1
Brandenburg,1999,1999-09-05,54.3,SPD,39.3
Brandenburg,2004,2004-09-19,56.4,SPD,31.9
Brandenburg,2009,2009-09-27,67,SPD,33
Brandenburg,2014,2014-09-14,47.9,SPD,31.9
Brandenburg,2019,2019-09-01,61.3,SPD,26.2
Sachsen-Anhalt,1994,1994-06-26,54.8,SPD,34
Sachsen-Anhalt,1998,1998-04-26,71.5,SPD,35.9
Sachsen-Anhalt,2002,2002-04-21,56.5,SPD,20
Sachsen-Anhalt,2006,2006-03-26,44.4,SPD,21.4
Sachsen-Anhalt,2011,2011-03-20,51.2,SPD,21.5
Sachsen-Anhalt,2016,2016-03-13,61.1,SPD,10.6
Berlin,1995,1995-10-22,68.6,SPD,23.6
Berlin,1999,1999-10-10,65.5,SPD,22.4
Berlin,2001,2001-10-21,68.1,SPD,29.7
Berlin,2006,2006-09-17,58,SPD,30.8
Berlin,2011,2011-09-18,60.2,SPD,28.3
Berlin,2016,2016-09-18,66.9,SPD,21.6
Nordrhein-Westfalen,1995,1995-05-14,64,SPD,46
Nordrhein-Westfalen,2000,2000-05-14,56.7,SPD,42.8
Nordrhein-Westfalen,2005,2005-05-22,63,SPD,37.1
Nordrhein-Westfalen,2010,2010-05-09,59.3,SPD,34.5
Nordrhein-Westfalen,2012,2012-05-13,59.6,SPD,39.1
Nordrhein-Westfalen,2017,2017-05-14,65.2,SPD,31.2
Sachsen,1994,1994-09-11,58.4,SPD,16.6
Sachsen,1999,1999-09-19,61.1,SPD,10.7
Sachsen,2004,2004-09-19,59.6,SPD,9.8
Sachsen,2009,2009-08-30,52.2,SPD,10.4
Sachsen,2014,2014-08-31,49.1,SPD,12.4
Sachsen,2019,2019-09-01,66.6,SPD,7.7
Hessen,1995,1995-02-19,66.3,SPD,38
Hessen,1999,1999-02-07,66.4,SPD,39.4
Hessen,2003,2003-02-02,64.6,SPD,29.1
Hessen,2008,2008-01-27,64.3,SPD,36.7
Hessen,2009,2009-01-18,61,SPD,23.7
Hessen,2013,2013-09-22,73.2,SPD,30.7
Hessen,2018,2018-10-28,67.3,SPD,19.8
Thüringen,1994,1994-10-16,74.8,SPD,29.6
Thüringen,1999,1999-09-12,59.9,SPD,18.5
Thüringen,2004,2004-06-13,53.8,SPD,14.5
Thüringen,2009,2009-08-30,56.2,SPD,18.5
Thüringen,2014,2014-09-14,52.7,SPD,12.4
Rheinland-Pfalz,1996,1996-03-24,70.8,SPD,39.8
Rheinland-Pfalz,2001,2001-03-25,62.1,SPD,44.7
Rheinland-Pfalz,2006,2006-03-26,58.2,SPD,45.6
Rheinland-Pfalz,2011,2011-03-27,61.8,SPD,35.7
Rheinland-Pfalz,2016,2016-03-13,70.4,SPD,36.2
Bayern,1994,1994-09-25,67.8,SPD,30
Bayern,1998,1998-09-13,69.8,SPD,28.7
Bayern,2003,2003-09-21,57.1,SPD,19.6
Bayern,2008,2008-09-28,57.9,SPD,18.6
Bayern,2013,2013-09-15,63.6,SPD,20.6
Bayern,2018,2018-10-14,72.4,SPD,9.7
Baden-Württemberg,1996,1996-03-24,67.6,SPD,25.1
Baden-Württemberg,2001,2001-03-25,62.6,SPD,33.3
Baden-Württemberg,2006,2006-03-26,53.4,SPD,25.2
Baden-Württemberg,2011,2011-03-27,66.3,SPD,23.1
Baden-Württemberg,2016,2016-03-13,70.4,SPD,12.7
Saarland,1994,1994-10-16,83.5,SPD,49.4
Saarland,1999,1999-09-05,68.7,SPD,44.4
Saarland,2004,2004-09-05,55.5,SPD,30.8
Saarland,2009,2009-08-30,67.6,SPD,24.5
Saarland,2012,2012-03-25,61.6,SPD,30.6
Saarland,2017,2017-03-26,69.7,SPD,29.6
Bund,1994,1994-10-16,79,SPD,36.4
Bund,1998,1998-09-27,82.2,SPD,40.9
Bund,2002,2002-09-22,79.1,SPD,38.5
Bund,2005,2005-09-18,77.7,SPD,34.2
Bund,2009,2009-09-27,70.8,SPD,23
Bund,2013,2013-09-22,71.5,SPD,25.7
Bund,2017,2017-09-24,76.2,SPD,20.5
Europa,1994,1994-06-12,60,SPD,32.2
Europa,1999,1999-06-13,45,SPD,1564444800
Europa,2004,2004-06-13,43,SPD,1558396800
Europa,2009,2009-06-07,43,SPD,1566259200
Europa,2014,2014-05-25,48,SPD,1553644800
Europa,2019,2019-05-26,61.4,SPD,15.8
Schleswig-Holstein,1996,1996-03-24,71.8,FDP,5.7
Schleswig-Holstein,2000,2000-02-27,69.5,FDP,7.6
Schleswig-Holstein,2005,2005-02-20,66.5,FDP,6.6
Schleswig-Holstein,2009,2009-09-27,73.5,FDP,14.9
Schleswig-Holstein,2012,2012-05-06,60.2,FDP,8.2
Schleswig-Holstein,2017,2017-05-07,64.2,FDP,11.5
Mecklenburg-Vorpommern,1994,1994-10-16,72.9,FDP,3.8
Mecklenburg-Vorpommern,1998,1998-09-27,79.4,FDP,1.6
Mecklenburg-Vorpommern,2002,2002-09-22,70.6,FDP,4.7
Mecklenburg-Vorpommern,2006,2006-09-17,59.1,FDP,9.6
Mecklenburg-Vorpommern,2011,2011-09-04,51.5,FDP,2.8
Mecklenburg-Vorpommern,2016,2016-09-04,61.9,FDP,3
Hamburg,1993,1993-09-19,69.6,FDP,4.2
Hamburg,1997,1997-09-21,68.7,FDP,3.5
Hamburg,2001,2001-09-23,71,FDP,5.1
Hamburg,2004,2004-02-29,68.7,FDP,2.8
Hamburg,2008,2008-02-24,63.5,FDP,4.8
Hamburg,2011,2011-02-20,57.3,FDP,6.7
Hamburg,2015,2015-02-15,56.5,FDP,7.4
Niedersachsen,1994,1994-03-13,73.8,FDP,4.4
Niedersachsen,1998,1998-03-01,73.8,FDP,4.9
Niedersachsen,2003,2003-02-02,67,FDP,8.1
Niedersachsen,2008,2008-01-27,57.1,FDP,8.2
Niedersachsen,2013,2013-01-20,59.4,FDP,9.9
Niedersachsen,2017,2017-10-15,63.1,FDP,7.5
Bremen,1995,1995-05-14,68.6,FDP,3.4
Bremen,1999,1999-06-06,60.1,FDP,2.5
Bremen,2003,2003-05-25,61.3,FDP,4.2
Bremen,2007,2007-05-13,57.5,FDP,6
Bremen,2011,2011-05-22,55.5,FDP,2.4
Bremen,2015,2015-05-10,50.2,FDP,6.6
Brandenburg,1994,1994-09-11,56.3,FDP,2.2
Brandenburg,1999,1999-09-05,54.3,FDP,1.9
Brandenburg,2004,2004-09-19,56.4,FDP,3.3
Brandenburg,2009,2009-09-27,67,FDP,7.2
Brandenburg,2014,2014-09-14,47.9,FDP,1.5
Brandenburg,2019,2019-09-01,61.3,FDP,4.1
Sachsen-Anhalt,1994,1994-06-26,54.8,FDP,3.6
Sachsen-Anhalt,1998,1998-04-26,71.5,FDP,4.2
Sachsen-Anhalt,2002,2002-04-21,56.5,FDP,13.3
Sachsen-Anhalt,2006,2006-03-26,44.4,FDP,6.7
Sachsen-Anhalt,2011,2011-03-20,51.2,FDP,3.8
Sachsen-Anhalt,2016,2016-03-13,61.1,FDP,4.9
Berlin,1995,1995-10-22,68.6,FDP,2.5
Berlin,1999,1999-10-10,65.5,FDP,2.2
Berlin,2001,2001-10-21,68.1,FDP,9.9
Berlin,2006,2006-09-17,58,FDP,7.6
Berlin,2011,2011-09-18,60.2,FDP,1.8
Berlin,2016,2016-09-18,66.9,FDP,6.7
Nordrhein-Westfalen,1995,1995-05-14,64,FDP,4
Nordrhein-Westfalen,2000,2000-05-14,56.7,FDP,9.8
Nordrhein-Westfalen,2005,2005-05-22,63,FDP,6.2
Nordrhein-Westfalen,2010,2010-05-09,59.3,FDP,6.7
Nordrhein-Westfalen,2012,2012-05-13,59.6,FDP,8.6
Nordrhein-Westfalen,2017,2017-05-14,65.2,FDP,12.6
Sachsen,1994,1994-09-11,58.4,FDP,1.7
Sachsen,1999,1999-09-19,61.1,FDP,1.1
Sachsen,2004,2004-09-19,59.6,FDP,5.9
Sachsen,2009,2009-08-30,52.2,FDP,10
Sachsen,2014,2014-08-31,49.1,FDP,3.8
Sachsen,2019,2019-09-01,66.6,FDP,4.5
Hessen,1995,1995-02-19,66.3,FDP,7.4
Hessen,1999,1999-02-07,66.4,FDP,5.1
Hessen,2003,2003-02-02,64.6,FDP,7.9
Hessen,2008,2008-01-27,64.3,FDP,9.4
Hessen,2009,2009-01-18,61,FDP,16.2
Hessen,2013,2013-09-22,73.2,FDP,5
Hessen,2018,2018-10-28,67.3,FDP,7.5
Thüringen,1994,1994-10-16,74.8,FDP,3.2
Thüringen,1999,1999-09-12,59.9,FDP,1.1
Thüringen,2004,2004-06-13,53.8,FDP,3.6
Thüringen,2009,2009-08-30,56.2,FDP,7.6
Thüringen,2014,2014-09-14,52.7,FDP,2.5
Rheinland-Pfalz,1996,1996-03-24,70.8,FDP,8.9
Rheinland-Pfalz,2001,2001-03-25,62.1,FDP,7.8
Rheinland-Pfalz,2006,2006-03-26,58.2,FDP,8
Rheinland-Pfalz,2011,2011-03-27,61.8,FDP,4.2
Rheinland-Pfalz,2016,2016-03-13,70.4,FDP,6.2
Bayern,1994,1994-09-25,67.8,FDP,2.8
Bayern,1998,1998-09-13,69.8,FDP,1.7
Bayern,2003,2003-09-21,57.1,FDP,2.6
Bayern,2008,2008-09-28,57.9,FDP,8
Bayern,2013,2013-09-15,63.6,FDP,3.3
Bayern,2018,2018-10-14,72.4,FDP,5.1
Baden-Württemberg,1996,1996-03-24,67.6,FDP,9.6
Baden-Württemberg,2001,2001-03-25,62.6,FDP,8.1
Baden-Württemberg,2006,2006-03-26,53.4,FDP,10.7
Baden-Württemberg,2011,2011-03-27,66.3,FDP,5.3
Baden-Württemberg,2016,2016-03-13,70.4,FDP,8.3
Saarland,1994,1994-10-16,83.5,FDP,2.1
Saarland,1999,1999-09-05,68.7,FDP,2.6
Saarland,2004,2004-09-05,55.5,FDP,5.2
Saarland,2009,2009-08-30,67.6,FDP,9.2
Saarland,2012,2012-03-25,61.6,FDP,1.2
Saarland,2017,2017-03-26,69.7,FDP,3.3
Bund,1994,1994-10-16,79,FDP,6.9
Bund,1998,1998-09-27,82.2,FDP,6.2
Bund,2002,2002-09-22,79.1,FDP,7.4
Bund,2005,2005-09-18,77.7,FDP,9.8
Bund,2009,2009-09-27,70.8,FDP,14.6
Bund,2013,2013-09-22,71.5,FDP,4.8
Bund,2017,2017-09-24,76.2,FDP,10.7
Europa,1994,1994-06-12,60,FDP,1546560000
Europa,1999,1999-06-13,45,FDP,3
Europa,2004,2004-06-13,43,FDP,1546732800
Europa,2009,2009-06-07,43,FDP,11
Europa,2014,2014-05-25,48,FDP,1554249600
Europa,2019,2019-05-26,61.4,FDP,5.4
Schleswig-Holstein,1996,1996-03-24,71.8,Gruene,8.1
Schleswig-Holstein,2000,2000-02-27,69.5,Gruene,6.2
Schleswig-Holstein,2005,2005-02-20,66.5,Gruene,6.2
Schleswig-Holstein,2009,2009-09-27,73.5,Gruene,12.4
Schleswig-Holstein,2012,2012-05-06,60.2,Gruene,13.2
Schleswig-Holstein,2017,2017-05-07,64.2,Gruene,12.9
Mecklenburg-Vorpommern,1994,1994-10-16,72.9,Gruene,3.7
Mecklenburg-Vorpommern,1998,1998-09-27,79.4,Gruene,2.7
Mecklenburg-Vorpommern,2002,2002-09-22,70.6,Gruene,2.6
Mecklenburg-Vorpommern,2006,2006-09-17,59.1,Gruene,3.4
Mecklenburg-Vorpommern,2011,2011-09-04,51.5,Gruene,8.7
Mecklenburg-Vorpommern,2016,2016-09-04,61.9,Gruene,4.8
Hamburg,1993,1993-09-19,69.6,Gruene,13.5
Hamburg,1997,1997-09-21,68.7,Gruene,13.9
Hamburg,2001,2001-09-23,71,Gruene,8.6
Hamburg,2004,2004-02-29,68.7,Gruene,12.3
Hamburg,2008,2008-02-24,63.5,Gruene,9.6
Hamburg,2011,2011-02-20,57.3,Gruene,11.2
Hamburg,2015,2015-02-15,56.5,Gruene,12.3
Niedersachsen,1994,1994-03-13,73.8,Gruene,7.4
Niedersachsen,1998,1998-03-01,73.8,Gruene,7
Niedersachsen,2003,2003-02-02,67,Gruene,7.6
Niedersachsen,2008,2008-01-27,57.1,Gruene,8
Niedersachsen,2013,2013-01-20,59.4,Gruene,13.7
Niedersachsen,2017,2017-10-15,63.1,Gruene,8.7
Bremen,1995,1995-05-14,68.6,Gruene,13.1
Bremen,1999,1999-06-06,60.1,Gruene,8.9
Bremen,2003,2003-05-25,61.3,Gruene,12.8
Bremen,2007,2007-05-13,57.5,Gruene,16.5
Bremen,2011,2011-05-22,55.5,Gruene,22.5
Bremen,2015,2015-05-10,50.2,Gruene,15.1
Brandenburg,1994,1994-09-11,56.3,Gruene,2.9
Brandenburg,1999,1999-09-05,54.3,Gruene,1.9
Brandenburg,2004,2004-09-19,56.4,Gruene,3.6
Brandenburg,2009,2009-09-27,67,Gruene,5.7
Brandenburg,2014,2014-09-14,47.9,Gruene,6.2
Brandenburg,2019,2019-09-01,61.3,Gruene,10.8
Sachsen-Anhalt,1994,1994-06-26,54.8,Gruene,5.1
Sachsen-Anhalt,1998,1998-04-26,71.5,Gruene,3.2
Sachsen-Anhalt,2002,2002-04-21,56.5,Gruene,2
Sachsen-Anhalt,2006,2006-03-26,44.4,Gruene,3.6
Sachsen-Anhalt,2011,2011-03-20,51.2,Gruene,7.1
Sachsen-Anhalt,2016,2016-03-13,61.1,Gruene,5.2
Berlin,1995,1995-10-22,68.6,Gruene,13.2
Berlin,1999,1999-10-10,65.5,Gruene,9.9
Berlin,2001,2001-10-21,68.1,Gruene,9.1
Berlin,2006,2006-09-17,58,Gruene,13.1
Berlin,2011,2011-09-18,60.2,Gruene,17.6
Berlin,2016,2016-09-18,66.9,Gruene,15.2
Nordrhein-Westfalen,1995,1995-05-14,64,Gruene,10
Nordrhein-Westfalen,2000,2000-05-14,56.7,Gruene,7.1
Nordrhein-Westfalen,2005,2005-05-22,63,Gruene,6.2
Nordrhein-Westfalen,2010,2010-05-09,59.3,Gruene,12.1
Nordrhein-Westfalen,2012,2012-05-13,59.6,Gruene,11.3
Nordrhein-Westfalen,2017,2017-05-14,65.2,Gruene,6.4
Sachsen,1994,1994-09-11,58.4,Gruene,4.1
Sachsen,1999,1999-09-19,61.1,Gruene,2.6
Sachsen,2004,2004-09-19,59.6,Gruene,5.1
Sachsen,2009,2009-08-30,52.2,Gruene,6.4
Sachsen,2014,2014-08-31,49.1,Gruene,5.7
Sachsen,2019,2019-09-01,66.6,Gruene,8.6
Hessen,1995,1995-02-19,66.3,Gruene,11.2
Hessen,1999,1999-02-07,66.4,Gruene,7.2
Hessen,2003,2003-02-02,64.6,Gruene,10.1
Hessen,2008,2008-01-27,64.3,Gruene,7.5
Hessen,2009,2009-01-18,61,Gruene,13.7
Hessen,2013,2013-09-22,73.2,Gruene,11.1
Hessen,2018,2018-10-28,67.3,Gruene,19.8
Thüringen,1994,1994-10-16,74.8,Gruene,4.5
Thüringen,1999,1999-09-12,59.9,Gruene,1.9
Thüringen,2004,2004-06-13,53.8,Gruene,4.5
Thüringen,2009,2009-08-30,56.2,Gruene,6.2
Thüringen,2014,2014-09-14,52.7,Gruene,5.7
Rheinland-Pfalz,1996,1996-03-24,70.8,Gruene,6.9
Rheinland-Pfalz,2001,2001-03-25,62.1,Gruene,5.2
Rheinland-Pfalz,2006,2006-03-26,58.2,Gruene,4.6
Rheinland-Pfalz,2011,2011-03-27,61.8,Gruene,15.4
Rheinland-Pfalz,2016,2016-03-13,70.4,Gruene,5.3
Bayern,1994,1994-09-25,67.8,Gruene,6.1
Bayern,1998,1998-09-13,69.8,Gruene,5.7
Bayern,2003,2003-09-21,57.1,Gruene,7.7
Bayern,2008,2008-09-28,57.9,Gruene,9.4
Bayern,2013,2013-09-15,63.6,Gruene,8.6
Bayern,2018,2018-10-14,72.4,Gruene,17.5
Baden-Württemberg,1996,1996-03-24,67.6,Gruene,12.1
Baden-Württemberg,2001,2001-03-25,62.6,Gruene,7.7
Baden-Württemberg,2006,2006-03-26,53.4,Gruene,11.7
Baden-Württemberg,2011,2011-03-27,66.3,Gruene,24.2
Baden-Württemberg,2016,2016-03-13,70.4,Gruene,30.3
Saarland,1994,1994-10-16,83.5,Gruene,5.5
Saarland,1999,1999-09-05,68.7,Gruene,3.2
Saarland,2004,2004-09-05,55.5,Gruene,5.6
Saarland,2009,2009-08-30,67.6,Gruene,5.9
Saarland,2012,2012-03-25,61.6,Gruene,5
Saarland,2017,2017-03-26,69.7,Gruene,4
Bund,1994,1994-10-16,79,Gruene,7.3
Bund,1998,1998-09-27,82.2,Gruene,6.7
Bund,2002,2002-09-22,79.1,Gruene,8.6
Bund,2005,2005-09-18,77.7,Gruene,8.1
Bund,2009,2009-09-27,70.8,Gruene,10.7
Bund,2013,2013-09-22,71.5,Gruene,8.4
Bund,2017,2017-09-24,76.2,Gruene,8.9
Europa,1994,1994-06-12,60,Gruene,1547078400
Europa,1999,1999-06-13,45,Gruene,1554508800
Europa,2004,2004-06-13,43,Gruene,1568160000
Europa,2009,2009-06-07,43,Gruene,1547251200
Europa,2014,2014-05-25,48,Gruene,1562716800
Europa,2019,2019-05-26,61.4,Gruene,20.5
Schleswig-Holstein,1996,1996-03-24,71.8,Linke,0
Schleswig-Holstein,2000,2000-02-27,69.5,Linke,1.4
Schleswig-Holstein,2005,2005-02-20,66.5,Linke,0.8
Schleswig-Holstein,2009,2009-09-27,73.5,Linke,6
Schleswig-Holstein,2012,2012-05-06,60.2,Linke,2.3
Schleswig-Holstein,2017,2017-05-07,64.2,Linke,3.8
Mecklenburg-Vorpommern,1994,1994-10-16,72.9,Linke,22.7
Mecklenburg-Vorpommern,1998,1998-09-27,79.4,Linke,24.4
Mecklenburg-Vorpommern,2002,2002-09-22,70.6,Linke,16.4
Mecklenburg-Vorpommern,2006,2006-09-17,59.1,Linke,16.8
Mecklenburg-Vorpommern,2011,2011-09-04,51.5,Linke,18.4
Mecklenburg-Vorpommern,2016,2016-09-04,61.9,Linke,13.2
Hamburg,1993,1993-09-19,69.6,Linke,0
Hamburg,1997,1997-09-21,68.7,Linke,0.7
Hamburg,2001,2001-09-23,71,Linke,0.4
Hamburg,2004,2004-02-29,68.7,Linke,0
Hamburg,2008,2008-02-24,63.5,Linke,6.4
Hamburg,2011,2011-02-20,57.3,Linke,6.4
Hamburg,2015,2015-02-15,56.5,Linke,8.5
Niedersachsen,1994,1994-03-13,73.8,Linke,0
Niedersachsen,1998,1998-03-01,73.8,Linke,0
Niedersachsen,2003,2003-02-02,67,Linke,0.5
Niedersachsen,2008,2008-01-27,57.1,Linke,7.1
Niedersachsen,2013,2013-01-20,59.4,Linke,3.1
Niedersachsen,2017,2017-10-15,63.1,Linke,4.6
Bremen,1995,1995-05-14,68.6,Linke,2.4
Bremen,1999,1999-06-06,60.1,Linke,2.9
Bremen,2003,2003-05-25,61.3,Linke,1.7
