Land,Jahr,Wahltag,Wahlbeteiligung,Partei,Anteil
Niedersachsen,1959,1959-04-19,78,CDUCSU,30.8
Niedersachsen,1963,1963-05-19,76.9,CDUCSU,37.7
Niedersachsen,1967,1967-06-04,75.8,CDUCSU,41.7
Niedersachsen,1970,1970-06-14,76.7,CDUCSU,45.7
Niedersachsen,1974,1974-06-09,84.4,CDUCSU,48.8
Niedersachsen,1978,1978-06-04,78.5,CDUCSU,48.7
Niedersachsen,1982,1982-03-21,77.7,CDUCSU,50.7
Niedersachsen,1986,1986-06-15,77.3,CDUCSU,44.3
Niedersachsen,1990,1990-05-13,74.6,CDUCSU,42
Niedersachsen,1994,1994-03-13,73.8,CDUCSU,36.4
Niedersachsen,1998,1998-03-01,73.8,CDUCSU,35.9
Niedersachsen,2003,2003-02-02,67,CDUCSU,48.3
Niedersachsen,2008,2008-01-27,57.1,CDUCSU,42.5
Niedersachsen,2013,2013-01-20,59.4,CDUCSU,36
Niedersachsen,2017,2017-10-15,63.1,CDUCSU,33.6
Bremen,1947,1947-10-12,67.8,CDUCSU,22
Bremen,1951,1951-10-07,83.3,CDUCSU,9
Bremen,1955,1955-10-09,84,CDUCSU,18
Bremen,1959,1959-10-11,79.2,CDUCSU,14.8
Bremen,1963,1963-09-29,76.1,CDUCSU,28.9
Bremen,1967,1967-10-01,77,CDUCSU,29.5
Bremen,1971,1971-10-10,80,CDUCSU,31.6
Bremen,1975,1975-09-28,82.2,CDUCSU,33.8
Bremen,1979,1979-10-07,78.5,CDUCSU,31.9
Bremen,1983,1983-09-25,79.7,CDUCSU,33.3
Bremen,1987,1987-09-13,75.6,CDUCSU,23.4
Bremen,1991,1991-09-29,72.2,CDUCSU,30.7
Bremen,1995,1995-05-14,68.6,CDUCSU,32.6
Bremen,1999,1999-06-06,60.1,CDUCSU,37.1
Bremen,2003,2003-05-25,61.3,CDUCSU,29.8
Bremen,2007,2007-05-13,57.5,CDUCSU,25.6
Bremen,2011,2011-05-22,55.5,CDUCSU,20.4
Bremen,2015,2015-05-10,50.2,CDUCSU,22.4
Bremen,2019,2019-05-26,64.1,CDUCSU,26.7
Brandenburg,1990,1990-10-14,67.1,CDUCSU,29.4
Brandenburg,1994,1994-09-11,56.3,CDUCSU,18.7
Brandenburg,1999,1999-09-05,54.3,CDUCSU,26.5
Brandenburg,2004,2004-09-19,56.4,CDUCSU,19.4
Brandenburg,2009,2009-09-27,67,CDUCSU,19.8
Brandenburg,2014,2014-09-14,47.9,CDUCSU,23
Brandenburg,2019,2019-09-01,61.3,CDUCSU,15.6
Sachsen-Anhalt,1990,1990-10-14,65.1,CDUCSU,39
Sachsen-Anhalt,1994,1994-06-26,54.8,CDUCSU,34.4
Sachsen-Anhalt,1998,1998-04-26,71.5,CDUCSU,22
Sachsen-Anhalt,2002,2002-04-21,56.5,CDUCSU,37.3
Sachsen-Anhalt,2006,2006-03-26,44.4,CDUCSU,36.2
Sachsen-Anhalt,2011,2011-03-20,51.2,CDUCSU,32.5
Sachsen-Anhalt,2016,2016-03-13,61.1,CDUCSU,29.8
Berlin,1946,1946-10-20,92.3,CDUCSU,22.2
Berlin,1948,1948-12-05,86.3,CDUCSU,19.4
Berlin,1950,1950-12-03,90.4,CDUCSU,24.7
Berlin,1954,1954-12-05,91.8,CDUCSU,30.4
Berlin,1958,1958-12-07,92.9,CDUCSU,37.7
Berlin,1963,1963-02-17,89.9,CDUCSU,28.8
Berlin,1967,1967-03-12,86.2,CDUCSU,32.9
Berlin,1971,1971-03-14,88.9,CDUCSU,38.2
Berlin,1975,1975-03-02,87.8,CDUCSU,43.9
Berlin,1979,1979-03-18,85.4,CDUCSU,44.4
Berlin,1981,1981-05-10,85.3,CDUCSU,48
Berlin,1985,1985-03-10,83.6,CDUCSU,46.4
Berlin,1989,1989-01-29,79.6,CDUCSU,37.7
Berlin,1990,1990-12-02,80.8,CDUCSU,40.4
Berlin,1995,1995-10-22,68.6,CDUCSU,37.4
Berlin,1999,1999-10-10,65.5,CDUCSU,40.8
Berlin,2001,2001-10-21,68.1,CDUCSU,23.8
Berlin,2006,2006-09-17,58,CDUCSU,21.3
Berlin,2011,2011-09-18,60.2,CDUCSU,23.3
Berlin,2016,2016-09-18,66.9,CDUCSU,17.6
Nordrhein-Westfalen,1947,1947-04-20,67.3,CDUCSU,37.6
Nordrhein-Westfalen,1950,1950-06-18,72.3,CDUCSU,36.9
Nordrhein-Westfalen,1954,1954-06-27,72.6,CDUCSU,41.3
Nordrhein-Westfalen,1958,1958-07-06,76.6,CDUCSU,50.5
Nordrhein-Westfalen,1962,1962-07-08,73.4,CDUCSU,46.4
Nordrhein-Westfalen,1966,1966-07-10,76.5,CDUCSU,42.8
Nordrhein-Westfalen,1970,1970-06-14,73.5,CDUCSU,46.3
Nordrhein-Westfalen,1975,1975-05-04,86.1,CDUCSU,47.1
Nordrhein-Westfalen,1980,1980-05-11,80,CDUCSU,43.2
Nordrhein-Westfalen,1985,1985-05-12,75.2,CDUCSU,36.5
Nordrhein-Westfalen,1990,1990-05-13,71.8,CDUCSU,36.7
Nordrhein-Westfalen,1995,1995-05-14,64,CDUCSU,37.7
Nordrhein-Westfalen,2000,2000-05-14,56.7,CDUCSU,37
Nordrhein-Westfalen,2005,2005-05-22,63,CDUCSU,44.8
Nordrhein-Westfalen,2010,2010-05-09,59.3,CDUCSU,34.6
Nordrhein-Westfalen,2012,2012-05-13,59.6,CDUCSU,26.3
Nordrhein-Westfalen,2017,2017-05-14,65.2,CDUCSU,33
Sachsen,1990,1990-10-14,72.8,CDUCSU,53.8
Sachsen,1994,1994-09-11,58.4,CDUCSU,58.1
Sachsen,1999,1999-09-19,61.1,CDUCSU,56.9
Sachsen,2004,2004-09-19,59.6,CDUCSU,41.1
Sachsen,2009,2009-08-30,52.2,CDUCSU,40.2
Sachsen,2014,2014-08-31,49.1,CDUCSU,39.4
Sachsen,2019,2019-09-01,66.6,CDUCSU,32.1
Hessen,1946,1946-12-01,73.2,CDUCSU,31
Hessen,1950,1950-11-19,64.9,CDUCSU,18.8
Hessen,1954,1954-11-28,82.4,CDUCSU,24.1
Hessen,1958,1958-11-23,82.3,CDUCSU,32
Hessen,1962,1962-11-11,77.7,CDUCSU,28.8
Hessen,1966,1966-11-06,81,CDUCSU,26.4
Hessen,1970,1970-11-08,82.8,CDUCSU,39.7
Hessen,1974,1974-10-27,84.8,CDUCSU,47.3
Hessen,1978,1978-10-08,87.7,CDUCSU,46
Hessen,1982,1982-09-26,86.4,CDUCSU,45.6
Hessen,1983,1983-09-25,83.5,CDUCSU,39.4
Hessen,1987,1987-04-05,80.3,CDUCSU,42.1
Hessen,1991,1991-01-20,70.8,CDUCSU,40.2
Hessen,1995,1995-02-19,66.3,CDUCSU,39.2
Hessen,1999,1999-02-07,66.4,CDUCSU,43.4
Hessen,2003,2003-02-02,64.6,CDUCSU,48.8
Hessen,2008,2008-01-27,64.3,CDUCSU,36.8
Hessen,2009,2009-01-18,61,CDUCSU,37.2
Hessen,2013,2013-09-22,73.2,CDUCSU,38.3
Hessen,2018,2018-10-28,67.3,CDUCSU,27
Thüringen,1990,1990-10-14,71.7,CDUCSU,45.4
Thüringen,1994,1994-10-16,74.8,CDUCSU,42.6
Thüringen,1999,1999-09-12,59.9,CDUCSU,51
Thüringen,2004,2004-06-13,53.8,CDUCSU,43
Thüringen,2009,2009-08-30,56.2,CDUCSU,31.2
Thüringen,2014,2014-09-14,52.7,CDUCSU,33.5
Thüringen,2019,2019-10-27,64.9,CDUCSU,21.7
Rheinland-Pfalz,1947,1947-05-18,77.9,CDUCSU,47.2
Rheinland-Pfalz,1951,1951-04-29,74.8,CDUCSU,39.2
Rheinland-Pfalz,1955,1955-05-15,76,CDUCSU,46.8
Rheinland-Pfalz,1959,1959-04-19,77.2,CDUCSU,48.4
Rheinland-Pfalz,1963,1963-03-31,75.5,CDUCSU,44.4
Rheinland-Pfalz,1967,1967-04-23,78.5,CDUCSU,46.7
Rheinland-Pfalz,1971,1971-03-21,79.4,CDUCSU,50
Rheinland-Pfalz,1975,1975-03-09,80.8,CDUCSU,53.9
Rheinland-Pfalz,1979,1979-03-18,81.4,CDUCSU,50.1
Rheinland-Pfalz,1983,1983-03-06,90.4,CDUCSU,51.9
Rheinland-Pfalz,1987,1987-05-17,77,CDUCSU,45.1
Rheinland-Pfalz,1991,1991-04-21,73.9,CDUCSU,38.7
Rheinland-Pfalz,1996,1996-03-24,70.8,CDUCSU,38.7
Rheinland-Pfalz,2001,2001-03-25,62.1,CDUCSU,35.3
Rheinland-Pfalz,2006,2006-03-26,58.2,CDUCSU,32.8
Rheinland-Pfalz,2011,2011-03-27,61.8,CDUCSU,35.2
Rheinland-Pfalz,2016,2016-03-13,70.4,CDUCSU,31.8
Bayern,1946,1946-12-01,75.7,CDUCSU,52.3
Bayern,1950,1950-11-26,79.9,CDUCSU,27.4
Bayern,1954,1954-11-28,82.4,CDUCSU,38
Bayern,1958,1958-11-23,76.6,CDUCSU,45.6
Bayern,1962,1962-11-25,76.5,CDUCSU,47.5
Bayern,1966,1966-11-20,80.6,CDUCSU,48.1
Bayern,1970,1970-11-20,79.5,CDUCSU,56.4
Bayern,1974,1974-10-27,77.7,CDUCSU,62.1
Bayern,1978,1978-10-15,76.6,CDUCSU,59.1
Bayern,1982,1982-10-10,78,CDUCSU,58.3
Bayern,1986,1986-10-12,70.1,CDUCSU,55.8
Bayern,1990,1990-10-14,65.9,CDUCSU,54.9
Bayern,1994,1994-09-25,67.8,CDUCSU,52.8
Bayern,1998,1998-09-13,69.8,CDUCSU,52.9
Bayern,2003,2003-09-21,57.1,CDUCSU,60.7
Bayern,2008,2008-09-28,57.9,CDUCSU,43.4
Bayern,2013,2013-09-15,63.6,CDUCSU,47.7
Bayern,2018,2018-10-14,72.4,CDUCSU,37.2
Baden-Württemberg,1952,1952-03-09,63.7,CDUCSU,36
Baden-Württemberg,1956,1956-03-04,70.3,CDUCSU,42.6
Baden-Württemberg,1960,1960-05-15,59,CDUCSU,39.5
Baden-Württemberg,1964,1964-04-26,67.7,CDUCSU,46.2
Baden-Württemberg,1968,1968-04-28,70.7,CDUCSU,44.2
Baden-Württemberg,1972,1972-04-23,80,CDUCSU,52.9
Baden-Württemberg,1976,1976-04-04,75.5,CDUCSU,56.7
Baden-Württemberg,1980,1980-03-16,72,CDUCSU,53.4
Baden-Württemberg,1984,1984-03-25,71.2,CDUCSU,51.9
Baden-Württemberg,1988,1988-03-20,71.8,CDUCSU,49
Baden-Württemberg,1992,1992-04-05,70.1,CDUCSU,39.6
Baden-Württemberg,1996,1996-03-24,67.6,CDUCSU,41.3
Baden-Württemberg,2001,2001-03-25,62.6,CDUCSU,44.8
Baden-Württemberg,2006,2006-03-26,53.4,CDUCSU,44.2
Baden-Württemberg,2011,2011-03-27,66.3,CDUCSU,39
Baden-Württemberg,2016,2016-03-13,70.4,CDUCSU,27
Saarland,1955,1955-12-18,90.3,CDUCSU,25.4
Saarland,1960,1960-12-04,79.1,CDUCSU,36.6
Saarland,1965,1965-06-27,81.8,CDUCSU,42.7
Saarland,1970,1970-06-14,83.1,CDUCSU,47.8
Saarland,1975,1975-05-04,88.8,CDUCSU,49.1
Saarland,1980,1980-04-27,85,CDUCSU,44
Saarland,1985,1985-03-10,85,CDUCSU,37.3
Saarland,1990,1990-01-28,83.2,CDUCSU,33.4
Saarland,1994,1994-10-16,83.5,CDUCSU,38.6
Saarland,1999,1999-09-05,68.7,CDUCSU,45.4
Saarland,2004,2004-09-05,55.5,CDUCSU,47.5
Saarland,2009,2009-08-30,67.6,CDUCSU,34.5
Saarland,2012,2012-03-25,61.6,CDUCSU,35.2
Saarland,2017,2017-03-26,69.7,CDUCSU,40.7
Bund,1949,1949-08-14,78.5,CDUCSU,31
Bund,1953,1953-09-06,86,CDUCSU,45.2
Bund,1957,1957-09-15,87.8,CDUCSU,50.2
Bund,1961,1961-09-17,87.7,CDUCSU,45.3
Bund,1965,1965-09-19,86.8,CDUCSU,47.6
Bund,1969,1969-09-28,86.7,CDUCSU,46.1
Bund,1972,1972-11-19,91.1,CDUCSU,44.9
Bund,1976,1976-10-03,90.7,CDUCSU,48.6
Bund,1980,1980-10-05,88.6,CDUCSU,44.5
Bund,1983,1983-03-06,89.1,CDUCSU,48.8
Bund,1987,1987-01-25,84.3,CDUCSU,44.3
Bund,1990,1990-12-02,77.8,CDUCSU,43.8
Bund,1994,1994-10-16,79,CDUCSU,41.4
Bund,1998,1998-09-27,82.2,CDUCSU,35.1
Bund,2002,2002-09-22,79.1,CDUCSU,38.5
Bund,2005,2005-09-18,77.7,CDUCSU,35.2
Bund,2009,2009-09-27,70.8,CDUCSU,33.8
Bund,2013,2013-09-22,71.5,CDUCSU,41.5
Bund,2017,2017-09-24,76.2,CDUCSU,32.9
Europa,1979,1979-06-10,66,CDUCSU,49.2
Europa,1984,1984-06-17,57,CDUCSU,45.9
Europa,1989,1989-06-18,62,CDUCSU,37.8
Europa,1994,1994-06-12,60,CDUCSU,38.8
Europa,1999,1999-06-13,45.2,CDUCSU,48.7
Europa,2004,2004-06-13,43,CDUCSU,44.5
Europa,2009,2009-06-07,43.3,CDUCSU,37.9
Europa,2014,2014-05-25,48,CDUCSU,35.3
Europa,2019,2019-05-26,61.4,CDUCSU,28.9
Schleswig-Holstein,1947,1947-02-20,69.8,SPD,43.8
Schleswig-Holstein,1950,1950-07-09,78.2,SPD,27.5
Schleswig-Holstein,1954,1954-09-12,78.6,SPD,33.2
Schleswig-Holstein,1958,1958-11-28,78.7,SPD,35.9
Schleswig-Holstein,1962,1962-11-23,70.1,SPD,39.2
Schleswig-Holstein,1967,1967-04-23,74.1,SPD,39.4
Schleswig-Holstein,1971,1971-04-25,79.2,SPD,41
Schleswig-Holstein,1975,1975-04-13,82.3,SPD,40.1
Schleswig-Holstein,1979,1979-04-29,83.3,SPD,41.7
Schleswig-Holstein,1983,1983-03-13,84.8,SPD,43.7
Schleswig-Holstein,1987,1987-09-13,76.6,SPD,45.2
Schleswig-Holstein,1988,1988-05-08,77.4,SPD,54.8
Schleswig-Holstein,1992,1992-04-05,71.7,SPD,46.2
Schleswig-Holstein,1996,1996-03-24,71.8,SPD,39.8
Schleswig-Holstein,2000,2000-02-27,69.5,SPD,43.1
Schleswig-Holstein,2005,2005-02-20,66.5,SPD,38.7
Schleswig-Holstein,2009,2009-09-27,73.5,SPD,25.4
Schleswig-Holstein,2012,2012-05-06,60.2,SPD,30.4
Schleswig-Holstein,2017,2017-05-07,64.2,SPD,27.3
Mecklenburg-Vorpommern,1990,1990-10-14,64.7,SPD,27
Mecklenburg-Vorpommern,1994,1994-10-16,72.9,SPD,29.5
Mecklenburg-Vorpommern,1998,1998-09-27,79.4,SPD,34.3
Mecklenburg-Vorpommern,2002,2002-09-22,70.6,SPD,40.6
Mecklenburg-Vorpommern,2006,2006-09-17,59.1,SPD,30.2
Mecklenburg-Vorpommern,2011,2011-09-04,51.5,SPD,35.6
Mecklenburg-Vorpommern,2016,2016-09-04,61.9,SPD,30.6
Hamburg,1946,1946-10-13,79,SPD,43.1
Hamburg,1949,1949-10-16,70.5,SPD,42.8
Hamburg,1953,1953-11-01,80.9,SPD,45.2
Hamburg,1957,1957-11-10,77.3,SPD,53.9
Hamburg,1961,1961-11-12,72.3,SPD,57.4
Hamburg,1966,1966-03-27,69.8,SPD,59
Hamburg,1970,1970-03-22,73.4,SPD,55.3
Hamburg,1974,1974-03-03,80.4,SPD,45
Hamburg,1978,1978-06-04,76.6,SPD,51.5
Hamburg,1982,1982-06-06,77.8,SPD,42.7
Hamburg,1982,1982-12-19,84,SPD,51.3
Hamburg,1986,1986-11-09,77.8,SPD,41.7
Hamburg,1987,1987-05-17,79.5,SPD,45
Hamburg,1991,1991-06-02,66.1,SPD,48
Hamburg,1993,1993-09-19,69.6,SPD,40.4
Hamburg,1997,1997-09-21,68.7,SPD,36.2
Hamburg,2001,2001-09-23,71,SPD,36.5
Hamburg,2004,2004-02-29,68.7,SPD,30.5
Hamburg,2008,2008-02-24,63.5,SPD,34.1
Hamburg,2011,2011-02-20,57.3,SPD,48.4
Hamburg,2015,2015-02-15,56.5,SPD,45.6
Niedersachsen,1947,1947-02-20,65.1,SPD,43.4
Niedersachsen,1951,1951-05-06,75.8,SPD,33.7
Niedersachsen,1955,1955-04-24,77.5,SPD,35.2
Niedersachsen,1959,1959-04-19,78,SPD,39.5
Niedersachsen,1963,1963-05-19,76.9,SPD,44.9
Niedersachsen,1967,1967-06-04,75.8,SPD,43.1
Niedersachsen,1970,1970-06-14,76.7,SPD,46.3
Niedersachsen,1974,1974-06-09,84.4,SPD,43.1
Niedersachsen,1978,1978-06-04,78.5,SPD,42.2
Niedersachsen,1982,1982-03-21,77.7,SPD,36.5
Niedersachsen,1986,1986-06-15,77.3,SPD,42.1
Niedersachsen,1990,1990-05-13,74.6,SPD,44.2
Niedersachsen,1994,1994-03-13,73.8,SPD,44.3
Niedersachsen,1998,1998-03-01,73.8,SPD,47.9
Niedersachsen,2003,2003-02-02,67,SPD,33.4
Niedersachsen,2008,2008-01-27,57.1,SPD,30.3
Niedersachsen,2013,2013-01-20,59.4,SPD,32.6
Niedersachsen,2017,2017-10-15,63.1,SPD,36.9
Bremen,1947,1947-10-12,67.8,SPD,41.7
Bremen,1951,1951-10-07,83.3,SPD,39.1
Bremen,1955,1955-10-09,84,SPD,47.7
Bremen,1959,1959-10-11,79.2,SPD,54.9
Bremen,1963,1963-09-29,76.1,SPD,54.7
Bremen,1967,1967-10-01,77,SPD,46
Bremen,1971,1971-10-10,80,SPD,55.3
Bremen,1975,1975-09-28,82.2,SPD,48.7
Bremen,1979,1979-10-07,78.5,SPD,49.4
Bremen,1983,1983-09-25,79.7,SPD,51.3
Bremen,1987,1987-09-13,75.6,SPD,50.5
Bremen,1991,1991-09-29,72.2,SPD,38.8
Bremen,1995,1995-05-14,68.6,SPD,33.4
Bremen,1999,1999-06-06,60.1,SPD,42.6
Bremen,2003,2003-05-25,61.3,SPD,42.3
Bremen,2007,2007-05-13,57.5,SPD,36.7
Bremen,2011,2011-05-22,55.5,SPD,38.6
Bremen,2015,2015-05-10,50.2,SPD,32.8
Bremen,2019,2019-05-26,64.1,SPD,24.9
Brandenburg,1990,1990-10-14,67.1,SPD,38.2
Brandenburg,1994,1994-09-11,56.3,SPD,54.1
Brandenburg,1999,1999-09-05,54.3,SPD,39.3
Brandenburg,2004,2004-09-19,56.4,SPD,31.9
Brandenburg,2009,2009-09-27,67,SPD,33
Brandenburg,2014,2014-09-14,47.9,SPD,31.9
Brandenburg,2019,2019-09-01,61.3,SPD,26.2
Sachsen-Anhalt,1990,1990-10-14,65.1,SPD,26
Sachsen-Anhalt,1994,1994-06-26,54.8,SPD,34
Sachsen-Anhalt,1998,1998-04-26,71.5,SPD,35.9
Sachsen-Anhalt,2002,2002-04-21,56.5,SPD,20
Sachsen-Anhalt,2006,2006-03-26,44.4,SPD,21.4
Sachsen-Anhalt,2011,2011-03-20,51.2,SPD,21.5
Sachsen-Anhalt,2016,2016-03-13,61.1,SPD,10.6
Berlin,1946,1946-10-20,92.3,SPD,48.7
Berlin,1948,1948-12-05,86.3,SPD,64.5
Berlin,1950,1950-12-03,90.4,SPD,44.7
Berlin,1954,1954-12-05,91.8,SPD,44.6
Berlin,1958,1958-12-07,92.9,SPD,52.6
Berlin,1963,1963-02-17,89.9,SPD,61.9
Berlin,1967,1967-03-12,86.2,SPD,56.9
Berlin,1971,1971-03-14,88.9,SPD,50.4
Berlin,1975,1975-03-02,87.8,SPD,42.6
Berlin,1979,1979-03-18,85.4,SPD,42.7
Berlin,1981,1981-05-10,85.3,SPD,38.3
Berlin,1985,1985-03-10,83.6,SPD,32.4
Berlin,1989,1989-01-29,79.6,SPD,37.3
Berlin,1990,1990-12-02,80.8,SPD,30.4
Berlin,1995,1995-10-22,68.6,SPD,23.6
Berlin,1999,1999-10-10,65.5,SPD,22.4
Berlin,2001,2001-10-21,68.1,SPD,29.7
Berlin,2006,2006-09-17,58,SPD,30.8
Berlin,2011,2011-09-18,60.2,SPD,28.3
Berlin,2016,2016-09-18,66.9,SPD,21.6
Nordrhein-Westfalen,1947,1947-04-20,67.3,SPD,32
Nordrhein-Westfalen,1950,1950-06-18,72.3,SPD,32.3
Nordrhein-Westfalen,1954,1954-06-27,72.6,SPD,34.5
Nordrhein-Westfalen,1958,1958-07-06,76.6,SPD,39.2
Nordrhein-Westfalen,1962,1962-07-08,73.4,SPD,43.3
Nordrhein-Westfalen,1966,1966-07-10,76.5,SPD,49.5
Nordrhein-Westfalen,1970,1970-06-14,73.5,SPD,46.1
Nordrhein-Westfalen,1975,1975-05-04,86.1,SPD,45.1
Nordrhein-Westfalen,1980,1980-05-11,80,SPD,48.4
Nordrhein-Westfalen,1985,1985-05-12,75.2,SPD,52.1
Nordrhein-Westfalen,1990,1990-05-13,71.8,SPD,50
Nordrhein-Westfalen,1995,1995-05-14,64,SPD,46
Nordrhein-Westfalen,2000,2000-05-14,56.7,SPD,42.8
Nordrhein-Westfalen,2005,2005-05-22,63,SPD,37.1
Nordrhein-Westfalen,2010,2010-05-09,59.3,SPD,34.5
Nordrhein-Westfalen,2012,2012-05-13,59.6,SPD,39.1
Nordrhein-Westfalen,2017,2017-05-14,65.2,SPD,31.2
Sachsen,1990,1990-10-14,72.8,SPD,19.1
Sachsen,1994,1994-09-11,58.4,SPD,16.6
Sachsen,1999,1999-09-19,61.1,SPD,10.7
Sachsen,2004,2004-09-19,59.6,SPD,9.8
Sachsen,2009,2009-08-30,52.2,SPD,10.4
Sachsen,2014,2014-08-31,49.1,SPD,12.4
Sachsen,2019,2019-09-01,66.6,SPD,7.7
Hessen,1946,1946-12-01,73.2,SPD,42.7
Hessen,1950,1950-11-19,64.9,SPD,44.4
Hessen,1954,1954-11-28,82.4,SPD,42.6
Hessen,1958,1958-11-23,82.3,SPD,46.9
Hessen,1962,1962-11-11,77.7,SPD,50.8
Hessen,1966,1966-11-06,81,SPD,51
Hessen,1970,1970-11-08,82.8,SPD,45.9
Hessen,1974,1974-10-27,84.8,SPD,43.2
Hessen,1978,1978-10-08,87.7,SPD,44.3
Hessen,1982,1982-09-26,86.4,SPD,42.8
Hessen,1983,1983-09-25,83.5,SPD,46.2
Hessen,1987,1987-04-05,80.3,SPD,40.2
Hessen,1991,1991-01-20,70.8,SPD,40.8
Hessen,1995,1995-02-19,66.3,SPD,38
Hessen,1999,1999-02-07,66.4,SPD,39.4
Hessen,2003,2003-02-02,64.6,SPD,29.1
Hessen,2008,2008-01-27,64.3,SPD,36.7
Hessen,2009,2009-01-18,61,SPD,23.7
Hessen,2013,2013-09-22,73.2,SPD,30.7
Hessen,2018,2018-10-28,67.3,SPD,19.8
Thüringen,1990,1990-10-14,71.7,SPD,22.8
Thüringen,1994,1994-10-16,74.8,SPD,29.6
Thüringen,1999,1999-09-12,59.9,SPD,18.5
Thüringen,2004,2004-06-13,53.8,SPD,14.5
Thüringen,2009,2009-08-30,56.2,SPD,18.5
Thüringen,2014,2014-09-14,52.7,SPD,12.4
Thüringen,2019,2019-10-27,64.9,SPD,8.2
Rheinland-Pfalz,1947,1947-05-18,77.9,SPD,34.3
Rheinland-Pfalz,1951,1951-04-29,74.8,SPD,34
Rheinland-Pfalz,1955,1955-05-15,76,SPD,31.7
Rheinland-Pfalz,1959,1959-04-19,77.2,SPD,34.9
Rheinland-Pfalz,1963,1963-03-31,75.5,SPD,40.7
Rheinland-Pfalz,1967,1967-04-23,78.5,SPD,36.8
Rheinland-Pfalz,1971,1971-03-21,79.4,SPD,40.5
Rheinland-Pfalz,1975,1975-03-09,80.8,SPD,38.5
Rheinland-Pfalz,1979,1979-03-18,81.4,SPD,42.3
Rheinland-Pfalz,1983,1983-03-06,90.4,SPD,39.6
Rheinland-Pfalz,1987,1987-05-17,77,SPD,38.8
Rheinland-Pfalz,1991,1991-04-21,73.9,SPD,44.8
Rheinland-Pfalz,1996,1996-03-24,70.8,SPD,39.8
Rheinland-Pfalz,2001,2001-03-25,62.1,SPD,44.7
Rheinland-Pfalz,2006,2006-03-26,58.2,SPD,45.6
Rheinland-Pfalz,2011,2011-03-27,61.8,SPD,35.7
Rheinland-Pfalz,2016,2016-03-13,70.4,SPD,36.2
