Institut,Auftraggeber,Befragte,Datum,Partei,Pct,Land
Forsa,RTL,T • 1.00202.03.–08.03.,09.03.2016,SPD,16 %,baden-wuerttemberg
INSA,BILD,T • 1.00501.03.–05.03.,07.03.2016,SPD,"12,5 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.05829.02.–03.03.,04.03.2016,SPD,13 %,baden-wuerttemberg
Infratestdimap,ARD,T • 1.00229.02.–02.03,03.03.2016,SPD,13 %,baden-wuerttemberg
INSA,BILD,T • 1.03025.02.–27.02.,28.02.2016,SPD,"16,5 %",baden-wuerttemberg
Forsa,"EZ,
 LKZ,PZ,
 GEA",T • 1.06916.02.–22.02.,26.02.2016,SPD,16 %,baden-wuerttemberg
INSA,BILD,T • 1.00019.02.–20.02.,22.02.2016,SPD,16 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00011.02.–16.02.,18.02.2016,SPD,14 %,baden-wuerttemberg
CustomerResearch 42,SchwäbischeZeitung,T • 1.00027.01.–07.02.,12.02.2016,SPD,"15,6 %",baden-wuerttemberg
INSA,BILD,T • 1.00026.01.–01.02.,05.02.2016,SPD,"13,5 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.06918.01.–20.01.,21.01.2016,SPD,15 %,baden-wuerttemberg
INSA,CDU-LV,T • 1.00011.01.–18.01.,20.01.2016,SPD,13 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00007.01.–12.01.,14.01.2016,SPD,15 %,baden-wuerttemberg
Forsa,stern,T • 1.06402.12.–11.12.,15.12.2015,SPD,19 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00026.11.–01.12.,03.12.2015,SPD,18 %,baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.04016.11.–18.11.,20.11.2015,SPD,18 %,baden-wuerttemberg
INSA,BILD,T • 1.00324.09.–06.10.,09.10.2015,SPD,16 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00017.09.–22.09.,24.09.2015,SPD,17 %,baden-wuerttemberg
Allensbach,Allensbach,F • 1.04718.07.–12.08.,11.09.2015,SPD,"20,0 %",baden-wuerttemberg
Forsa,stern,T • 1.01023.04.–07.05.,12.05.2015,SPD,20 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00019.03.–24.03.,26.03.2015,SPD,18 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00010.11.–11.11.,13.11.2014,SPD,20 %,baden-wuerttemberg
TNS Infratest,SPD-LTFraktion,T • ???.07.–??.07.,17.09.2014,SPD,19 %,baden-wuerttemberg
Infratestdimap,SWR,T • 1.00006.05.–11.05.,13.05.2014,SPD,20 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00404.11.–05.11.,07.11.2013,SPD,19 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00513.05.–15.05.,16.05.2013,SPD,19 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00007.05.–08.05.,10.05.2012,SPD,21 %,baden-wuerttemberg
Emnid,Focus,T • 1.00215.11.–17.11.,20.11.2011,SPD,20 %,baden-wuerttemberg
Infratestdimap,"SWR, StuttgarterZeitung, Uni Stuttgart,Bertelsmann Stift.",T • 2.40308.11.–16.11.,17.11.2011,SPD,22 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00016.08.–17.08.,18.08.2011,SPD,23 %,baden-wuerttemberg
Forsa,"stern.de, RTL",T • 1.00418.04.–29.04.,04.05.2011,SPD,22 %,baden-wuerttemberg
Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,SPD,"23,1 %",baden-wuerttemberg
Institut,Auftraggeber,Befragte,Datum,GRÜNE,GRÜNE,baden-wuerttemberg
– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,GRÜNE,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,baden-wuerttemberg
INSA,BILD,O • 1.04006.05.–08.05.,10.05.2019,GRÜNE,28 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00220.03.–26.03,28.03.2019,GRÜNE,32 %,baden-wuerttemberg
INSA,BILD,TOM • 1.00607.02.–12.02.,15.02.2019,GRÜNE,29 %,baden-wuerttemberg
Forsa,RTL/n-tv,T • 1.00729.01.–01.02.,04.02.2019,GRÜNE,33 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00305.09.–10.09,12.09.2018,GRÜNE,29 %,baden-wuerttemberg
INSA,BILD,TOM • 1.04601.09.–06.09.,12.09.2018,GRÜNE,27 %,baden-wuerttemberg
Forsa,RTL/n-tv,T • 1.00308.02.–22.02.,25.02.2018,GRÜNE,32 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00326.01.–30.01,31.01.2018,GRÜNE,29 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00403.03.–07.03,09.03.2017,GRÜNE,27 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00109.09.–13.09,15.09.2016,GRÜNE,31 %,baden-wuerttemberg
Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,GRÜNE,"30,3 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.71107.03.–10.03.,10.03.2016,GRÜNE,32 %,baden-wuerttemberg
YouGov,YouGov,O • 97402.03.–09.03.,10.03.2016,GRÜNE,32 %,baden-wuerttemberg
Forsa,RTL,T • 1.00202.03.–08.03.,09.03.2016,GRÜNE,32 %,baden-wuerttemberg
INSA,BILD,T • 1.00501.03.–05.03.,07.03.2016,GRÜNE,"33,5 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.05829.02.–03.03.,04.03.2016,GRÜNE,32 %,baden-wuerttemberg
Infratestdimap,ARD,T • 1.00229.02.–02.03,03.03.2016,GRÜNE,32 %,baden-wuerttemberg
INSA,BILD,T • 1.03025.02.–27.02.,28.02.2016,GRÜNE,"30,5 %",baden-wuerttemberg
Forsa,"EZ,
 LKZ,PZ,
 GEA",T • 1.06916.02.–22.02.,26.02.2016,GRÜNE,30 %,baden-wuerttemberg
INSA,BILD,T • 1.00019.02.–20.02.,22.02.2016,GRÜNE,"30,5 %",baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00011.02.–16.02.,18.02.2016,GRÜNE,28 %,baden-wuerttemberg
CustomerResearch 42,SchwäbischeZeitung,T • 1.00027.01.–07.02.,12.02.2016,GRÜNE,"26,1 %",baden-wuerttemberg
INSA,BILD,T • 1.00026.01.–01.02.,05.02.2016,GRÜNE,"28,5 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.06918.01.–20.01.,21.01.2016,GRÜNE,28 %,baden-wuerttemberg
INSA,CDU-LV,T • 1.00011.01.–18.01.,20.01.2016,GRÜNE,29 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00007.01.–12.01.,14.01.2016,GRÜNE,28 %,baden-wuerttemberg
Forsa,stern,T • 1.06402.12.–11.12.,15.12.2015,GRÜNE,28 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00026.11.–01.12.,03.12.2015,GRÜNE,25 %,baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.04016.11.–18.11.,20.11.2015,GRÜNE,27 %,baden-wuerttemberg
INSA,BILD,T • 1.00324.09.–06.10.,09.10.2015,GRÜNE,24 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00017.09.–22.09.,24.09.2015,GRÜNE,26 %,baden-wuerttemberg
Allensbach,Allensbach,F • 1.04718.07.–12.08.,11.09.2015,GRÜNE,"24,0 %",baden-wuerttemberg
Forsa,stern,T • 1.01023.04.–07.05.,12.05.2015,GRÜNE,26 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00019.03.–24.03.,26.03.2015,GRÜNE,25 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00010.11.–11.11.,13.11.2014,GRÜNE,22 %,baden-wuerttemberg
TNS Infratest,SPD-LTFraktion,T • ???.07.–??.07.,17.09.2014,GRÜNE,23 %,baden-wuerttemberg
Infratestdimap,SWR,T • 1.00006.05.–11.05.,13.05.2014,GRÜNE,21 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00404.11.–05.11.,07.11.2013,GRÜNE,22 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00513.05.–15.05.,16.05.2013,GRÜNE,28 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00007.05.–08.05.,10.05.2012,GRÜNE,28 %,baden-wuerttemberg
Emnid,Focus,T • 1.00215.11.–17.11.,20.11.2011,GRÜNE,32 %,baden-wuerttemberg
Infratestdimap,"SWR, StuttgarterZeitung, Uni Stuttgart,Bertelsmann Stift.",T • 2.40308.11.–16.11.,17.11.2011,GRÜNE,29 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00016.08.–17.08.,18.08.2011,GRÜNE,29 %,baden-wuerttemberg
Forsa,"stern.de, RTL",T • 1.00418.04.–29.04.,04.05.2011,GRÜNE,30 %,baden-wuerttemberg
Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,GRÜNE,"24,2 %",baden-wuerttemberg
Institut,Auftraggeber,Befragte,Datum,FDP,FDP,baden-wuerttemberg
– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,FDP,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,baden-wuerttemberg
INSA,BILD,O • 1.04006.05.–08.05.,10.05.2019,FDP,10 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00220.03.–26.03,28.03.2019,FDP,9 %,baden-wuerttemberg
INSA,BILD,TOM • 1.00607.02.–12.02.,15.02.2019,FDP,9 %,baden-wuerttemberg
Forsa,RTL/n-tv,T • 1.00729.01.–01.02.,04.02.2019,FDP,9 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00305.09.–10.09,12.09.2018,FDP,7 %,baden-wuerttemberg
INSA,BILD,TOM • 1.04601.09.–06.09.,12.09.2018,FDP,9 %,baden-wuerttemberg
Forsa,RTL/n-tv,T • 1.00308.02.–22.02.,25.02.2018,FDP,9 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00326.01.–30.01,31.01.2018,FDP,8 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00403.03.–07.03,09.03.2017,FDP,7 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00109.09.–13.09,15.09.2016,FDP,7 %,baden-wuerttemberg
Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,FDP,"8,3 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.71107.03.–10.03.,10.03.2016,FDP,6 %,baden-wuerttemberg
YouGov,YouGov,O • 97402.03.–09.03.,10.03.2016,FDP,8 %,baden-wuerttemberg
Forsa,RTL,T • 1.00202.03.–08.03.,09.03.2016,FDP,7 %,baden-wuerttemberg
INSA,BILD,T • 1.00501.03.–05.03.,07.03.2016,FDP,6 %,baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.05829.02.–03.03.,04.03.2016,FDP,7 %,baden-wuerttemberg
Infratestdimap,ARD,T • 1.00229.02.–02.03,03.03.2016,FDP,8 %,baden-wuerttemberg
INSA,BILD,T • 1.03025.02.–27.02.,28.02.2016,FDP,"6,5 %",baden-wuerttemberg
Forsa,"EZ,
 LKZ,PZ,
 GEA",T • 1.06916.02.–22.02.,26.02.2016,FDP,6 %,baden-wuerttemberg
INSA,BILD,T • 1.00019.02.–20.02.,22.02.2016,FDP,7 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00011.02.–16.02.,18.02.2016,FDP,8 %,baden-wuerttemberg
CustomerResearch 42,SchwäbischeZeitung,T • 1.00027.01.–07.02.,12.02.2016,FDP,"5,1 %",baden-wuerttemberg
INSA,BILD,T • 1.00026.01.–01.02.,05.02.2016,FDP,7 %,baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.06918.01.–20.01.,21.01.2016,FDP,6 %,baden-wuerttemberg
INSA,CDU-LV,T • 1.00011.01.–18.01.,20.01.2016,FDP,"6,5 %",baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00007.01.–12.01.,14.01.2016,FDP,6 %,baden-wuerttemberg
Forsa,stern,T • 1.06402.12.–11.12.,15.12.2015,FDP,5 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00026.11.–01.12.,03.12.2015,FDP,5 %,baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.04016.11.–18.11.,20.11.2015,FDP,5 %,baden-wuerttemberg
INSA,BILD,T • 1.00324.09.–06.10.,09.10.2015,FDP,5 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00017.09.–22.09.,24.09.2015,FDP,5 %,baden-wuerttemberg
Allensbach,Allensbach,F • 1.04718.07.–12.08.,11.09.2015,FDP,"4,5 %",baden-wuerttemberg
Forsa,stern,T • 1.01023.04.–07.05.,12.05.2015,FDP,4 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00019.03.–24.03.,26.03.2015,FDP,5 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00010.11.–11.11.,13.11.2014,FDP,3 %,baden-wuerttemberg
TNS Infratest,SPD-LTFraktion,T • ???.07.–??.07.,17.09.2014,FDP,4 %,baden-wuerttemberg
Infratestdimap,SWR,T • 1.00006.05.–11.05.,13.05.2014,FDP,3 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00404.11.–05.11.,07.11.2013,FDP,4 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00513.05.–15.05.,16.05.2013,FDP,4 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00007.05.–08.05.,10.05.2012,FDP,4 %,baden-wuerttemberg
Emnid,Focus,T • 1.00215.11.–17.11.,20.11.2011,FDP,4 %,baden-wuerttemberg
Infratestdimap,"SWR, StuttgarterZeitung, Uni Stuttgart,Bertelsmann Stift.",T • 2.40308.11.–16.11.,17.11.2011,FDP,3 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00016.08.–17.08.,18.08.2011,FDP,4 %,baden-wuerttemberg
Forsa,"stern.de, RTL",T • 1.00418.04.–29.04.,04.05.2011,FDP,4 %,baden-wuerttemberg
Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,Landtagswahl am 27.03.2011,FDP,"5,3 %",baden-wuerttemberg
Institut,Auftraggeber,Befragte,Datum,LINKE,LINKE,baden-wuerttemberg
– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,LINKE,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,baden-wuerttemberg
INSA,BILD,O • 1.04006.05.–08.05.,10.05.2019,LINKE,6 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00220.03.–26.03,28.03.2019,LINKE,4 %,baden-wuerttemberg
INSA,BILD,TOM • 1.00607.02.–12.02.,15.02.2019,LINKE,5 %,baden-wuerttemberg
Forsa,RTL/n-tv,T • 1.00729.01.–01.02.,04.02.2019,LINKE,6 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00305.09.–10.09,12.09.2018,LINKE,7 %,baden-wuerttemberg
INSA,BILD,TOM • 1.04601.09.–06.09.,12.09.2018,LINKE,5 %,baden-wuerttemberg
Forsa,RTL/n-tv,T • 1.00308.02.–22.02.,25.02.2018,LINKE,4 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00326.01.–30.01,31.01.2018,LINKE,6 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00403.03.–07.03,09.03.2017,LINKE,4 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00109.09.–13.09,15.09.2016,LINKE,3 %,baden-wuerttemberg
Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,Landtagswahl am 13.03.2016,LINKE,"2,9 %",baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.71107.03.–10.03.,10.03.2016,LINKE,4 %,baden-wuerttemberg
YouGov,YouGov,O • 97402.03.–09.03.,10.03.2016,LINKE,4 %,baden-wuerttemberg
Forsa,RTL,T • 1.00202.03.–08.03.,09.03.2016,LINKE,3 %,baden-wuerttemberg
INSA,BILD,T • 1.00501.03.–05.03.,07.03.2016,LINKE,3 %,baden-wuerttemberg
ForschungsgruppeWahlen,ZDF,T • 1.05829.02.–03.03.,04.03.2016,LINKE,4 %,baden-wuerttemberg
Infratestdimap,ARD,T • 1.00229.02.–02.03,03.03.2016,LINKE,4 %,baden-wuerttemberg
INSA,BILD,T • 1.03025.02.–27.02.,28.02.2016,LINKE,"3,5 %",baden-wuerttemberg
Forsa,"EZ,
 LKZ,PZ,
 GEA",T • 1.06916.02.–22.02.,26.02.2016,LINKE,3 %,baden-wuerttemberg
INSA,BILD,T • 1.00019.02.–20.02.,22.02.2016,LINKE,3 %,baden-wuerttemberg
Infratestdimap,"SWR,Stuttgarter Zeitung",T • 1.00011.02.–16.02.,18.02.2016,LINKE,4 %,baden-wuerttemberg
CustomerResearch 42,SchwäbischeZeitung,T • 1.00027.01.–07.02.,12.02.2016,LINKE,"5,5 %",baden-wuerttemberg
INSA,BILD,T • 1.00026.01.–01.02.,05.02.2016,LINKE,"3,5 %",baden-wuerttemberg
